Id,SalePrice
1461,120845.16332046731
1462,161236.7527037305
1463,186473.45195585917
1464,194147.21229161555
1465,194386.18176274444
1466,173078.91708636697
1467,178563.47004076178
1468,162619.55692167813
1469,185228.05417078448
1470,123018.9140441226
1471,197694.47672068904
1472,95797.33628314552
1473,95753.80280304581
1474,147046.37447685705
1475,113849.97951880624
1476,376412.07513278833
1477,247627.68348171533
1478,283433.72235978395
1479,281449.0753764559
1480,489718.4804728538
1481,316563.5858594889
1482,207102.9300035127
1483,178122.00446711024
1484,163684.28429338403
1485,182357.37755534134
1486,196485.61990824938
1487,338953.081595603
1488,228962.72930617817
1489,196295.36470649068
1490,233629.6763300571
1491,192547.05623563478
1492,91657.52159880444
1493,176721.21555083944
1494,292720.0546431311
1495,285887.45860306214
1496,239788.1793297052
1497,181039.09708161096
1498,166659.34959614027
1499,159434.4145822109
1500,155539.40993312508
1501,177118.62855263316
1502,144080.9184875331
1503,293046.22863596573
1504,240285.4963194406
1505,224534.5151712238
1506,187002.72929874205
1507,251193.6068292711
1508,197338.06284862317
1509,160754.37595000368
1510,144691.9847630667
1511,153480.07278888827
1512,174632.2710881881
1513,144080.82276207724
1514,163138.02504524158
1515,196709.2056676871
1516,155496.70746650372
1517,165556.39152055353
1518,131184.11774230064
1519,218081.72196185874
1520,130442.10218702343
1521,135036.37982180138
1522,174427.24329142994
1523,112583.85008427141
1524,125558.79008018474
1525,122251.92100168043
1526,110580.48025499374
1527,103322.05940275277
1528,133897.56749180472
1529,150894.5867802971
1530,174036.8698805132
1531,106055.60808683133
1532,95876.21276619812
1533,146340.62811735726
1534,126309.58381042429
1535,150811.85472782748
1536,107535.69951018401
1537,59619.72112186285
1538,149116.04136988215
1539,193474.9425898305
1540,95690.91821509271
1541,142504.42711652615
1542,143156.18954764534
1543,198763.4331738892
1544,81560.19812166129
1545,110179.92308063644
1546,134644.0337956333
1547,137776.69488262237
1548,136580.88542615014
1549,116500.79989120585
1550,137099.46183913515
1551,110314.3474379924
1552,138611.8349152431
1553,152286.7308697711
1554,113800.16907091509
1555,162839.7497888846
1556,86010.41448331386
1557,110434.18254938941
1558,99468.9782431633
1559,68361.05532393763
1560,133930.0890958249
1561,132080.5971162929
1562,128431.94381012992
1563,119693.43158142352
1564,161317.1787973186
1565,146300.30206710863
1566,235922.22250127263
1567,75152.53897074396
1568,233024.79781972506
1569,132995.60111190256
1570,133789.6314285686
1571,121414.32224119913
1572,146550.38942376492
1573,242111.4815201273
1574,117816.98882996607
1575,219697.77739780556
1576,243104.86636685114
1577,185291.919016311
1578,146400.6258671639
1579,145154.00328861334
1580,192643.69822498452
1581,154294.19093040907
1582,124213.17320222942
1583,305691.22711508954
1584,223502.8006335299
1585,140028.56914988245
1586,68753.50466093363
1587,99906.70284544284
1588,149093.21192238768
1589,101039.83805033975
1590,135576.65112184585
1591,94469.17177749512
1592,119873.56292633641
1593,125043.35679832156
1594,134204.28484542668
1595,105336.82469634619
1596,234394.78499749885
1597,192361.2962203535
1598,216620.39437304056
1599,166877.9177354399
1600,165646.12270590354
1601,64726.27039072908
1602,115601.33253843444
1603,78745.38734829694
1604,261114.9890265469
1605,239562.09171687168
1606,166069.73536749388
1607,168264.29366768504
1608,216799.00224948744
1609,184102.78109087402
1610,148844.46705236757
1611,137276.9902315107
1612,168547.10639645575
1613,165316.9436988662
1614,121543.20904012692
1615,87819.22042296175
1616,76487.852443263
1617,92281.08383017896
1618,127617.80200542012
1619,139142.4188137967
1620,148765.6536486202
1621,138077.1014029897
1622,139173.4291918164
1623,262994.2063390607
1624,213132.6614860156
1625,120418.95793191758
1626,161682.0757846882
1627,191574.4168734575
1628,273615.74696238653
1629,174840.90778062312
1630,370298.31290067104
1631,217733.80039797898
1632,238759.78249119618
1633,167641.19165459124
1634,186720.10431533837
1635,174899.7241457597
1636,153833.98542283903
1637,204246.69274642752
1638,181364.3084690905
1639,182562.92809595395
1640,255883.61611638224
1641,175966.6787921122
1642,236526.53564254037
1643,220185.88038645536
1644,229631.82398800028
1645,200124.25075853628
1646,158397.54487491495
1647,156962.21041670968
1648,130759.63316306172
1649,139102.2113776968
1650,111400.92603185336
1651,121452.94266460888
1652,96788.08552026172
1653,98485.44582366847
1654,144230.38751332325
1655,139561.70038054677
1656,141991.06939767193
1657,147151.6685287766
1658,144886.7457715812
